area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Vile Parle,4 BHK,,2600,4,3,4666.666667
Built-up  Area,Ready To Move,Ghatkopar,4 BHK,Srsica ,1700,4,,14000
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,Soiewre,1682,3,1,23684.21053
Built-up  Area,Ready To Move,Bandra,3 BHK,Rarthne,1371,2,2,38333.33333
Super built-up  Area,21-Mar,Mulund,2 BHK,,901,2,1,4444.444444
Plot  Area,Ready To Move,Lower Parel,7 Bedroom,,600,7,0,25806.45161
Super built-up  Area,Ready To Move,Khar,3 BHK,SJarkte,1730,3,1,7402.597403
Plot  Area,Ready To Move,Vile Parle,4 Bedroom,,1200,4,0,45652.17391
Super built-up  Area,Ready To Move,Malad,3 BHK,SJlynro,1500,3,3,15755.32901
Super built-up  Area,Ready To Move,Andheri,4 BHK,Maana E,3785,6,,19531.25
Built-up  Area,Ready To Move,Kurla,4 BHK,,3500,4,2,22727.27273
Carpet  Area,Ready To Move,Dadar,2 BHK,Glnetch,1203,2,1,20252.0252
Super built-up  Area,Ready To Move,Mulund,2 BHK,,1357,2,2,13000
Super built-up  Area,Ready To Move,Colaba,3 BHK,Suensda,1600,3,2,24000
Built-up  Area,Ready To Move,Khar,1 BHK,KHatsFl,350,1,1,17525.7732
Super built-up  Area,Ready To Move,Juhu,3 BHK,MKllei ,1665,3,1,12000
Plot  Area,Ready To Move,Kurla,3 Bedroom,,1400,3,3,7698.412698
Super built-up  Area,Ready To Move,Lower Parel,1 BHK,,835,1,1,10296.2963
Plot  Area,Ready To Move,Santacruz,2 Bedroom,,815,3,2,13833.33333
Super built-up  Area,Ready To Move,Dadar,3 BHK,NDionas,1444,2,1,25000
Super built-up  Area,Ready To Move,Powai,2 BHK,,1277,2,2,20000
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,Soiewre,1521,3,1,21527.77778
Super built-up  Area,Ready To Move,Malad,2 BHK,,1134,2,1,25500
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,995,2,1,10702.7027
Super built-up  Area,Ready To Move,Juhu,3 BHK,Brica E,2760,5,2,11304.34783
Built-up  Area,Ready To Move,Worli,2 BHK,PueraRi,1325,1,1,16500
Built-up  Area,Ready To Move,Santacruz,6 Bedroom,,4000,6,,6666.666667
Built-up  Area,Ready To Move,Malad,3 BHK,,1525,3,2,16666.66667
Super built-up  Area,18-Dec,Khar,3 BHK,,1320,2,2,9917.355372
Super built-up  Area,Ready To Move,Ghatkopar,1 BHK,SrnesSr,650,1,1,6500
Built-up  Area,Ready To Move,Malad,3 BHK,,1858,2,1,25000
Super built-up  Area,21-Aug,Vile Parle,2 BHK,,1150,2,1,6875
Super built-up  Area,Ready To Move,Goregaon,2 BHK,MJtroty,769,2,1,18000
Super built-up  Area,Ready To Move,Chembur,3 BHK,Prarkun,1571,3,2,18918.91892
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,Maity W,1445,3,1,14900
Super built-up  Area,Ready To Move,Goregaon,3 BHK,Saageat,1590,2,2,23717.94872
Super built-up  Area,Ready To Move,Malad,2 BHK,Niway G,902,2,2,38281.25
Plot  Area,18-Mar,Bandra,3 Bedroom,,2238,3,1,35937.5
Built-up  Area,18-Dec,Santacruz,2 BHK,,1090,2,1,14634.14634
Built-up  Area,Ready To Move,Ghatkopar,3 BHK,NCowsar,1712,3,3,24242.42424
Built-up  Area,Ready To Move,Dadar,2 BHK,,1088,2,1,29032.25806
Super built-up  Area,Ready To Move,Borivali,3 BHK,,1575,3,3,21176.47059
Plot  Area,Ready To Move,Andheri,6 Bedroom,,2150,6,3,21556.88623
Super built-up  Area,Ready To Move,Chembur,3 BHK,Roima A,1920,3,2,18987.34177
Plot  Area,Ready To Move,Colaba,2 Bedroom,,1000,2,0,11818.18182
Super built-up  Area,18-Oct,Worli,2 BHK,,1100,2,2,21428.57143
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,Daives ,1089,2,2,11792.45283
Built-up  Area,Ready To Move,Lower Parel,2 BHK,Maows M,1106,2,1,27450.98039
Super built-up  Area,18-Dec,Kurla,2 BHK,,927,2,2,17399.2674
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,PuandHi,1339,2,2,23333.33333
Built-up  Area,21-Dec,Vile Parle,1 BHK,Bhe 2ko,923,1,1,28176.79558
Plot  Area,18-Aug,Bandra,3 Bedroom,,2900,3,2,33333.33333
Super built-up  Area,Ready To Move,Malad,2 BHK,RothaVa,1175,2,2,26086.95652
Built-up  Area,Ready To Move,Andheri,2 BHK,Soowsa ,975,2,1,8375
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,Kacesh ,2400,4,1,25728.15534
Super built-up  Area,Ready To Move,Santacruz,3 BHK,Prldsri,1330,3,2,19444.44444
Super built-up  Area,20-Dec,Malad,2 BHK,Bhe 2ko,1183,2,1,6565.656566
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,,1758,3,2,8333.333333
Plot  Area,Ready To Move,Chembur,3 Bedroom,,1200,3,2,26111.11111
Super built-up  Area,19-Dec,Goregaon,3 BHK,Magiaya,1255,2,1,18837.2093
Plot  Area,Ready To Move,Vile Parle,3 Bedroom,,600,4,2,21551.72414
Built-up  Area,Ready To Move,Borivali,2 BHK,SantsAp,1100,2,2,8333.333333
Super built-up  Area,18-Dec,Kurla,2 BHK,Vaharvi,1170,2,2,24460.43165
Built-up  Area,Ready To Move,Colaba,5 Bedroom,,2400,5,2,23571.42857
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,GrrvaGr,1530,3,3,29500
Built-up  Area,17-Dec,Chembur,2 BHK,Mahosya,1420,2,2,7741.935484
Plot  Area,Ready To Move,Borivali,4 Bedroom,,1200,4,2,50000
Plot  Area,Ready To Move,Lower Parel,6 Bedroom,,1045,6,3,9948.717949
Super built-up  Area,19-Jan,Colaba,3 BHK,PrityFa,1591,3,1,59171.59763
Super built-up  Area,Ready To Move,Kurla,3 BHK,Eladero,1680,3,2,6545.454545
Plot  Area,Ready To Move,Lower Parel,2 Bedroom,,675,3,1,21153.84615
Super built-up  Area,19-Dec,Malad,2 BHK,Caycend,1055,2,1,23255.81395
Super built-up  Area,Ready To Move,Powai,3 BHK,Sonet G,1918,3,2,21666.66667
Super built-up  Area,18-Jan,Colaba,2 BHK,Kelia R,1280,2,1,17307.69231
Super built-up  Area,Ready To Move,Kurla,3 BHK,DSdhiSa,1560,3,3,13513.51351
Super built-up  Area,Ready To Move,Khar,2 BHK,Usquaya,1145,2,2,9120.879121
Super built-up  Area,Ready To Move,Borivali,3 BHK,Sodgere,2106,3,2,22210.52632
Super built-up  Area,Ready To Move,Goregaon,3 BHK,,1801,3,2,21428.57143
Plot  Area,Ready To Move,Mulund,5 Bedroom,,1200,5,3,9444.444444
Super built-up  Area,Ready To Move,Worli,2 BHK,PhestOn,1718,3,2,26744.18605
Super built-up  Area,20-Jun,Mulund,3 BHK,Somns T,1306,3,2,22727.27273
Super built-up  Area,19-Jun,Chembur,2 BHK,Raard B,1320,2,1,16000
Built-up  Area,Ready To Move,Mulund,3 BHK,,1350,2,2,15024.03846
Built-up  Area,Ready To Move,Borivali,4 BHK,,2990,4,,35156.25
Built-up  Area,Ready To Move,Powai,4 BHK,AHavenc,3800,5,3,7500
Super built-up  Area,Ready To Move,Powai,3 BHK,DSnjh S,1344,2,1,21472.39264
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,,1893,3,2,21875
Super built-up  Area,Ready To Move,Andheri,3 BHK,,1107,2,1,23166.02317
Plot  Area,Ready To Move,Powai,9 Bedroom,,1200,10,,17900
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,RothaVa,1190,2,1,6018.518519
Built-up  Area,Ready To Move,Kurla,2 BHK,Pranthi,1000,2,1,6000
Plot  Area,Ready To Move,Goregaon,2 Bedroom,Keersto,2400,2,1,22727.27273
Super built-up  Area,Ready To Move,Colaba,2 BHK,Mania G,1000,2,1,11111.11111
Super built-up  Area,Ready To Move,Kurla,3 BHK,Tahtsla,2113,3,2,13575.12953
Built-up  Area,Ready To Move,Dadar,2 BHK,,1100,2,1,18579.23497
Plot  Area,Ready To Move,Goregaon,5 Bedroom,,1200,4,1,97142.85714
Super built-up  Area,Ready To Move,Kurla,4 BHK,Zonce E,1884,4,2,28125
Super built-up  Area,Ready To Move,Khar,2 BHK,YCnce R,1110,2,1,23529.41176
Super built-up  Area,Ready To Move,Khar,2 BHK,Srrnasa,1027,2,2,17777.77778
Super built-up  Area,18-May,Chembur,3 BHK,,1250,3,2,6923.076923
Built-up  Area,Ready To Move,Chembur,3 BHK,,1470,3,0,32558.13953
Built-up  Area,18-May,Chembur,2 BHK,,1150,2,1,11913.04348
Plot  Area,Ready To Move,Chembur,3 Bedroom,JRichee,1200,3,2,23272.72727
Super built-up  Area,18-Aug,Kurla,1 BHK,Sanzaat,703,1,1,6333.333333
Super built-up  Area,Ready To Move,Chembur,3 BHK,,1400,2,2,25000
Super built-up  Area,Ready To Move,Goregaon,2 BHK,SRageri,1195,2,2,21551.72414
Super built-up  Area,Ready To Move,Juhu,2 BHK,Veodsar,1302,2,1,72463.76812
Super built-up  Area,19-Aug,Malad,3 BHK,Pruthg ,1583,3,1,6338.028169
Super built-up  Area,Ready To Move,Andheri,3 BHK,BMmesHo,1488,2,3,42016.80672
Plot  Area,Ready To Move,Colaba,4 Bedroom,,600,5,2,20000
Super built-up  Area,18-Aug,Borivali,3 BHK,DSOakil,1385,2,2,30894.30894
Super built-up  Area,Ready To Move,Borivali,4 BHK,,3262,4,2,21476.51007
Built-up  Area,18-Jan,Vile Parle,3 BHK,Prarkun,1600,3,2,13500
Super built-up  Area,Ready To Move,Colaba,2 BHK,FlsicFl,1150,2,1,20000
Plot  Area,Ready To Move,Ghatkopar,9 Bedroom,,4500,9,,14285.71429
Super built-up  Area,Ready To Move,Bandra,2 BHK,,1263,2,1,29585.79882
Plot  Area,Ready To Move,Vile Parle,7 Bedroom,,1200,8,2,40000
Super built-up  Area,20-May,Vile Parle,2 BHK,Soena A,1299,2,2,30476.19048
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,1330,2,1,5911.330049
Super built-up  Area,18-Apr,Lower Parel,3 BHK,Sabixtt,1282,2,2,19259.25926
Built-up  Area,Ready To Move,Worli,3 BHK,,1853,3,2,13600
Super built-up  Area,Ready To Move,Borivali,2 BHK,ICoolon,861,2,1,6345.957011
Built-up  Area,Ready To Move,Mulund,3 BHK,SNity S,1600,3,2,36465.63815
Built-up  Area,Ready To Move,Powai,2 BHK,,1256,2,1,29268.29268
Super built-up  Area,Ready To Move,Andheri,3 BHK,Naods W,1390,2,2,33989.07104
Super built-up  Area,Ready To Move,Chembur,3 BHK,Raeusiy,1550,2,,20909.09091
Plot  Area,Ready To Move,Malad,11 Bedroom,,1200,6,3,15833.33333
Built-up  Area,Ready To Move,Dadar,2 BHK,,919,2,1,7700.534759
Plot  Area,18-May,Juhu,3 Bedroom,,1625,3,0,7729.468599
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,Puide P,1195,2,2,26704.54545
Super built-up  Area,Ready To Move,Santacruz,6 BHK,,2400,4,1,4939.759036
Super built-up  Area,Ready To Move,Powai,2 BHK,Jaers S,1159,2,1,23183.92581
Super built-up  Area,20-Jun,Borivali,3 BHK,Somns T,1386,3,1,7619.047619
Super built-up  Area,Ready To Move,Juhu,2 BHK,Prncyrn,1197,2,1,16153.84615
Super built-up  Area,18-Dec,Worli,4 BHK,Jaades ,2690,4,3,11881.18812
Super built-up  Area,Ready To Move,Kurla,4 Bedroom,Prllasw,3293 - 5314,,,14117.64706
Super built-up  Area,18-May,Juhu,3 BHK,SSestth,1295,2,1,15625
Built-up  Area,18-Jul,Khar,3 BHK,,1310,2,1,18181.81818
Super built-up  Area,21-Dec,Lower Parel,2 BHK,Preaunt,1132,2,1,7368.421053
Built-up  Area,Ready To Move,Colaba,3 BHK,Sinde G,2350,3,2,34246.57534
Plot  Area,Ready To Move,Dadar,4 Bedroom,,2400,4,,8529.411765
Super built-up  Area,19-Dec,Malad,3 BHK,Raard B,1645,3,2,23943.66197
Super built-up  Area,18-Nov,Powai,2 BHK,,1200,2,1,18500
Plot  Area,Ready To Move,Bandra,4 Bedroom,,3000,4,0,20000
Super built-up  Area,Ready To Move,Santacruz,3 BHK,Prionad,1937,3,2,6103.286385
Super built-up  Area,Ready To Move,Juhu,2 BHK,Vayali ,1015,2,2,6565.656566
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,1080,2,2,55555.55556
Super built-up  Area,Ready To Move,Andheri,3 BHK,Prone M,1350,2,2,47980.76923
Super built-up  Area,18-Aug,Mulund,3 BHK,DSestSt,1149,2,2,7608.695652
Super built-up  Area,Ready To Move,Juhu,2 BHK,,1185,2,2,9067.882472
Super built-up  Area,Ready To Move,Powai,3 BHK,,1720,3,1,22909.09091
Super built-up  Area,Ready To Move,Andheri,3 BHK,,2080,3,3,34166.66667
Plot  Area,Ready To Move,Andheri,3 Bedroom,Hentye ,1500,3,1,18048.12834
Super built-up  Area,Ready To Move,Santacruz,3 BHK,PuziaVe,1566,3,2,29090.90909
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,PhestOn,2386,3,,43750
Plot  Area,Ready To Move,Mulund,4 Bedroom,,1500,4,0,29550.0608
Super built-up  Area,Ready To Move,Mulund,2 BHK,LVniaar,1290,2,1,24761.90476
Built-up  Area,20-Dec,Chembur,3 BHK,,1531,3,2,19955.6541
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,ETens G,1839,3,3,39583.33333
Plot  Area,Ready To Move,Kurla,4 Bedroom,,4200,4,1,4861.111111
Super built-up  Area,18-May,Chembur,3 BHK,Sryalan,1400,2,2,20000
Super built-up  Area,Ready To Move,Malad,2 BHK,Itelaa ,550,1,1,16363.63636
Super built-up  Area,Ready To Move,Colaba,2 BHK,SSthamh,1140,2,2,19565.21739
Super built-up  Area,21-Jun,Borivali,3 BHK,Coowsri,1210 - 1477,3,0,9280
Built-up  Area,Ready To Move,Mulund,4 Bedroom,,2000,4,0,20960.96096
Built-up  Area,Ready To Move,Dadar,2 BHK,VaasaPr,1100,2,1,13671.875
Built-up  Area,Ready To Move,Goregaon,2 BHK,Mancyhi,1200,2,2,30909.09091
Super built-up  Area,18-Apr,Chembur,3 BHK,,1618,3,1,15454.54545
Super built-up  Area,18-Oct,Ghatkopar,4 BHK,Prtates,2830,5,2,3421.052632
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,Omy 2es,1315,2,2,23624.16107
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,ViensRK,1141,2,1,16566.26506
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,Srestve,1080,2,2,11695.90643
Super built-up  Area,Ready To Move,Khar,2 BHK,Flretes,1200,2,2,12500
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,DSingSt,1111,2,2,15454.54545
Super built-up  Area,Ready To Move,Bandra,2 BHK,,1022,2,1,17647.05882
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,SNity S,1275,2,2,9239.130435
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,,900,2,1,26475.03782
Super built-up  Area,Ready To Move,Powai,2 BHK,,1224,2,3,29411.76471
Super built-up  Area,Ready To Move,Chembur,2 BHK,Sancy L,1135,2,3,22727.27273
Super built-up  Area,Ready To Move,Colaba,2 BHK,,1050,2,2,19536.01954
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,Srier P,1535,3,2,14619.88304
Super built-up  Area,17-Nov,Goregaon,2 BHK,PuonsSe,1392,2,1,30000
Super built-up  Area,Ready To Move,Malad,2 BHK,Kritel ,1050,2,2,23076.92308
Super built-up  Area,19-Jun,Powai,3 BHK,Sosisic,1513,3,1,16000
Super built-up  Area,Ready To Move,Malad,3 BHK,Sooutnu,1621,3,3,13854.35169
Super built-up  Area,Ready To Move,Khar,2 BHK,Ceise P,892,2,1,6000
Super built-up  Area,Ready To Move,Juhu,2 BHK,SSthamh,1205,2,1,31390.13453
Super built-up  Area,18-Dec,Malad,3 BHK,Magiaya,1355,3,2,18308.92144
Plot  Area,Ready To Move,Andheri,5 Bedroom,,1250,5,,4615.384615
Plot  Area,Ready To Move,Lower Parel,7 Bedroom,,1650,9,,14814.81481
Super built-up  Area,Ready To Move,Bandra,4 BHK,,1200,6,3,25925.92593
Super built-up  Area,Ready To Move,Dadar,2 BHK,Suurtni,1400,2,2,19230.76923
Super built-up  Area,18-Nov,Mulund,2 BHK,VBn 2lm,726,2,1,8808.290155
Plot  Area,Ready To Move,Powai,3 Bedroom,CoiewSy,1500,3,2,9021.73913
Super built-up  Area,Ready To Move,Dadar,4 BHK,,3895,4,2,6736.842105
Super built-up  Area,18-Dec,Santacruz,2 BHK,,1079,2,2,25625.74493
Super built-up  Area,Ready To Move,Malad,2 BHK,Visic C,1170,2,2,16363.63636
Super built-up  Area,Ready To Move,Andheri,2 BHK,Saaveas,1104,2,2,21714.28571
Super built-up  Area,Ready To Move,Santacruz,2 BHK,Wiowsri,950,2,1,30588.23529
Built-up  Area,Ready To Move,Colaba,4 Bedroom,Prageta,4818,4,3,20000
Built-up  Area,Ready To Move,Lower Parel,3 BHK,Kiagar ,1650,2,1,28485.75712
Super built-up  Area,21-May,Powai,3 BHK,Sourtal,1559,3,2,22962.96296
Built-up  Area,Ready To Move,Worli,2 BHK,Nastadr,1100,2,1,17900
Super built-up  Area,Ready To Move,Khar,3 BHK,GathiVa,1750,3,3,3888.888889
Super built-up  Area,18-Jul,Worli,2 BHK,ViistLa,1215,2,1,18750
Super built-up  Area,21-Feb,Dadar,3 BHK,Sodgere,1868,3,1,20000
Built-up  Area,18-Dec,Goregaon,2 BHK,,1130,2,1,20555.55556
Super built-up  Area,Ready To Move,Santacruz,3 BHK,JRrnauv,1570,3,3,15416.66667
Super built-up  Area,Ready To Move,Andheri,3 BHK,,1691,3,1,26100
Built-up  Area,Ready To Move,Ghatkopar,5 Bedroom,,4355,3,1,4216.86747
Super built-up  Area,17-Oct,Kurla,2 BHK,ArowsMe,1225,2,2,17218.54305
Super built-up  Area,Ready To Move,Juhu,3 BHK,,1690,3,2,27380.95238
Super built-up  Area,Ready To Move,Khar,2 BHK,,1418,2,2,23000
Super built-up  Area,Ready To Move,Ghatkopar,4 BHK,Radenta,1896,3,1,17333.33333
Super built-up  Area,17-Sep,Powai,1 BHK,Skacak ,605,1,1,17276.42276
Plot  Area,Ready To Move,Kurla,5 Bedroom,,800,5,2,17894.73684
Super built-up  Area,Ready To Move,Worli,2 BHK,Riodsri,900,2,2,9578.947368
Plot  Area,Ready To Move,Dadar,1 Bedroom,,750,2,0,51687.76371
Plot  Area,Ready To Move,Dadar,3 Bedroom,,780,3,1,6333.333333
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,,908,2,1,6380.952381
Built-up  Area,18-May,Powai,4 Bedroom,Cetattu,3369 - 3464,6,0,15333.33333
Super built-up  Area,Ready To Move,Borivali,4 BHK,Soitya ,3216,4,1,39285.71429
Plot  Area,Ready To Move,Chembur,5 Bedroom,,2400,4,1,22702.7027
Built-up  Area,Ready To Move,Santacruz,2 BHK,,1400,2,2,17058.82353
Super built-up  Area,Ready To Move,Colaba,2 BHK,Srrnasa,1092,2,2,7500
Super built-up  Area,Ready To Move,Bandra,2 BHK,RatosAr,1255,2,2,22950.81967
Built-up  Area,Ready To Move,Dadar,3 BHK,GMown E,1500,2,1,10593.22034
Super built-up  Area,18-Feb,Khar,2 BHK,Bhmesy ,1296,2,2,21685.25403
Super built-up  Area,Ready To Move,Andheri,2 BHK,,925,2,3,16000
Built-up  Area,Ready To Move,Kurla,2 BHK,Mahla T,1023,2,2,15196.07843
Built-up  Area,Ready To Move,Dadar,2 BHK,,600,3,2,15498.44237
Super built-up  Area,18-May,Chembur,2 BHK,SLityee,1020,2,1,5945.945946
Super built-up  Area,17-Jul,Colaba,3 BHK,Sainei ,1530,3,2,17777.77778
Super built-up  Area,Ready To Move,Colaba,3 BHK,,1650,3,2,16000
Built-up  Area,Ready To Move,Borivali,3 BHK,Dhise P,1605,2,3,26229.5082
Super built-up  Area,Ready To Move,Andheri,2 BHK,,1925,2,1,25330.39648
Super built-up  Area,Ready To Move,Chembur,2 BHK,,1190,2,2,19375
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,,1374,3,2,21875
Built-up  Area,Ready To Move,Malad,2 BHK,SNpalaj,1140,2,2,41993.28108
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,Soionar,1725,3,2,15555.55556
Super built-up  Area,Ready To Move,Juhu,3 BHK,Prityel,1075,2,1,18402.77778
Super built-up  Area,Ready To Move,Bandra,3 BHK,Sonue A,1574,3,1,17857.14286
Built-up  Area,Ready To Move,Mulund,1 BHK,,965,1,1,16000
Super built-up  Area,Ready To Move,Mulund,3 BHK,Valdsic,1550,3,2,8166.666667
Super built-up  Area,Ready To Move,Andheri,2 BHK,Ajomaa ,1205,2,2,38596.49123
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,Prrtht ,1082,2,1,35131.74404
Super built-up  Area,Ready To Move,Khar,3 BHK,Ayaya A,1215,2,2,35000
Super built-up  Area,Ready To Move,Vile Parle,4 BHK,Prersis,2483,5,2,32833.02064
Plot  Area,18-Jul,Mulund,2 Bedroom,,1200,3,1,22884.61538
Super built-up  Area,Ready To Move,Worli,1 BHK,,1500,1,1,16763.00578
Plot  Area,18-May,Bandra,4 Bedroom,,2360,4,2,20000
Super built-up  Area,Ready To Move,Lower Parel,4 BHK,AWharde,3198,4,,11818.18182
Super built-up  Area,Ready To Move,Santacruz,3 BHK,JRrnauv,1452,3,3,18666.66667
Super built-up  Area,18-Apr,Mulund,3 BHK,MJtroty,1329,2,2,11250
Super built-up  Area,Ready To Move,Andheri,2 BHK,,1125,2,1,19823.78855
Plot  Area,Ready To Move,Chembur,2 Bedroom,,1200,2,0,17857.14286
Built-up  Area,Ready To Move,Bandra,3 BHK,,1350,3,3,6780.487805
Super built-up  Area,Ready To Move,Goregaon,3 BHK,Niiewem,1125 - 1500,3,0,17294.11765
Super built-up  Area,19-Oct,Ghatkopar,3 BHK,SNontle,2600,3,2,7635.294118
Plot  Area,Ready To Move,Powai,2 Bedroom,,1200,2,1,30660.37736
Built-up  Area,18-Dec,Malad,3 BHK,Sryalan,1220,3,1,45000
Super built-up  Area,Ready To Move,Dadar,2 BHK,Kencyes,1255,2,1,11250
Super built-up  Area,Ready To Move,Mulund,3 BHK,ETens G,1904,3,3,12916.66667
Super built-up  Area,Ready To Move,Malad,2 BHK,,1329,2,2,8672.566372
Plot  Area,Ready To Move,Juhu,2 Bedroom,,1200,2,1,10000
Super built-up  Area,Ready To Move,Powai,3 BHK,IBaveen,2135,3,2,9259.259259
Super built-up  Area,Ready To Move,Borivali,3 BHK,,2770,4,3,24260.35503
Built-up  Area,19-Dec,Andheri,1 BHK,,813,1,1,20000
Plot  Area,Ready To Move,Vile Parle,4 Bedroom,,3884,4,3,21848.7395
Plot  Area,Ready To Move,Vile Parle,3 Bedroom,,3876,3,1,15692.30769
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,PrncyRe,800,2,2,16000
Plot  Area,Ready To Move,Ghatkopar,4 Bedroom,,4750,2,1,42301.18443
Super built-up  Area,Ready To Move,Chembur,3 BHK,Ocock R,1500,3,3,21176.47059
Super built-up  Area,Ready To Move,Mulund,3 BHK,SNity S,1880,3,2,5303.030303
Super built-up  Area,Ready To Move,Mulund,3 BHK,Pa II E,1440,2,2,10067.11409
Super built-up  Area,Ready To Move,Worli,3 BHK,DLhtsnd,1575,3,,29411.76471
Super built-up  Area,Ready To Move,Worli,3 BHK,,1630,2,2,16818.18182
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,,1180,3,1,8536.585366
Built-up  Area,Ready To Move,Chembur,2 BHK,,1090,2,1,25714.28571
Super built-up  Area,Ready To Move,Worli,2 BHK,,1020,2,2,19310.34483
Built-up  Area,Ready To Move,Juhu,4 BHK,,2425,4,3,33333.33333
Super built-up  Area,18-Mar,Chembur,2 BHK,Hirio L,1097,2,1,3901.895206
Super built-up  Area,Ready To Move,Andheri,2 BHK,Sithand,1070,2,1,28181.81818
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,Mania G,1000,2,1,21886.79245
Plot  Area,Ready To Move,Powai,8 Bedroom,,1120,8,,35000
Super built-up  Area,18-Apr,Chembur,2 BHK,,1150,2,1,28358.20896
Built-up  Area,Ready To Move,Borivali,3 BHK,Clint E,1900,4,2,19345.2381
Super built-up  Area,Ready To Move,Kurla,2 BHK,,1141,2,2,12454.54545
Built-up  Area,Ready To Move,Andheri,2 BHK,DLhtsen,937,2,1,21379.31034
Built-up  Area,Ready To Move,Juhu,2 BHK,Blisera,1075,2,1,13207.54717
Super built-up  Area,18-Feb,Kurla,2 BHK,,1000,2,1,20370.37037
Super built-up  Area,Ready To Move,Chembur,3 BHK,,1450,3,,43269.23077
Plot  Area,Ready To Move,Colaba,5 Bedroom,,897,2,1,19791.66667
Super built-up  Area,Ready To Move,Worli,2 BHK,GMentAp,936,2,2,60869.56522
Built-up  Area,Ready To Move,Juhu,2 BHK,,1280,2,1,6315.789474
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,,1050,2,3,16954.02299
Super built-up  Area,Ready To Move,Kurla,2 BHK,Asintas,1350,2,1,4000
Super built-up  Area,Ready To Move,Malad,2 BHK,GMilse ,1325,2,1,5263.157895
Super built-up  Area,18-Apr,Andheri,2 BHK,Oznuean,1174,2,1,20000
Super built-up  Area,Ready To Move,Kurla,3 BHK,Saageat,1890,3,2,15546.21849
Super built-up  Area,Ready To Move,Dadar,1 BHK,,735,1,1,20000
Built-up  Area,Ready To Move,Malad,1 BHK,,500,1,0,13815.78947
Super built-up  Area,Ready To Move,Worli,3 BHK,,1304,3,3,61538.46154
Built-up  Area,Ready To Move,Powai,3 BHK,Niareum,1653,3,2,12242.89912
Super built-up  Area,Ready To Move,Powai,3 BHK,Prityel,1075,2,1,15925.92593
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,Kaiew L,1212,3,1,6666.666667
Built-up  Area,Ready To Move,Borivali,2 BHK,Mamesi ,1100,2,1,21100
Super built-up  Area,Ready To Move,Chembur,4 BHK,PhestOn,3436,6,3,8108.108108
Plot  Area,Ready To Move,Goregaon,3 Bedroom,,1200,4,0,19000
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,,1140,2,2,12500
Plot  Area,Ready To Move,Malad,2 Bedroom,,1200,2,1,35555.55556
